S#,Date,Year,Blast Day Type,Holiday Type,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names
1,1995-11-19,1995,Holiday,Weekend,Islamabad,33.718,73.0718,Capital,Egyptian Embassy,Foreign,High,Closed,nan,Foreigner,Shiite,14,15,0,60,2,nan
2,2000-11-06,2000,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,office of Nawa-e-Waqt,Office Building,Low,Closed,nan,Media,Shiite,0,3,0,3,1,nan
3,2002-05-08,2002,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel,Hotel,Medium,Closed,nan,Foreigner,Christian,13,15,20,40,1,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi3. PN Shifa
4,2002-06-14,2002,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area,Foreign,High,Closed,nan,Foreigner,Christian,0,12,0,51,1,nan
5,2003-07-04,2003,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Imambargah MeCongy Road Quetta,Religious,Medium,Closed,during Friday prayer,Religious,Shiite,44,47,0,65,1,"1.CMH Quetta
2.Civil Hospital 3. Boland Medical Complex"
6,2003-12-25,2003,Holiday,Christmas/birthday of Quaid-e-Azam,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi,Mobile,Low,Open,president's/chief of army staff convoy passing from there,Military,Shiite,16,18,0,50,2,"1.District headquarters 
Hospital"
7,2004-02-28,2004,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,Closed,maghrib prayer was in process,Religious,shiite,0,1,3,4,1,nan
8,2004-05-07,2004,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,KarachiShia mosque Sindh Madrassatul Islam,Religious,Medium,Closed,Friday prayer was in progress,Religious,shiite,14,15,96,200,1,Civil hospital
9,2004-05-31,2004,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,Closed,nan,Religious,Shiite,16,18,0,35,1,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center
10,2004-06-03,2004,Working Day,Weekend,North waziristan,32.9746,70.1456,FATA,checkpost in north waziristan-close to Afghanistan border,Military,High,Open,nan,Military,Shiite,0,2,0,2,1,nan
11,2004-07-28,2004,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Residence,High,Closed,Army,Military,Shiite,2,3,0,3,2,CMH Kohat
12,2004-07-30,2004,Working Day,Weekend,Attock,33.7645,72.3667,Punjab,Mr Aziz election rally in jaffar village in fateh jang,Parks_Grounds,Low,Open,Election rally,Government Official,Shiite,0,7,44,70,1,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang
13,2004-10-01,2004,Working Day,Weekend,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city Police & Rangers station on Raja road,Religious,Medium,Closed,Friday prayer,Religious,shiite,25,31,50,75,1,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore
14,2004-10-10,2004,Holiday,Weekend,Lahore,31.5451,74.3407,Punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,Medium,Closed,Jamia Masjid /Shia Mosque,Religious,shiite,4,5,6,10,1,Mayo Hospital
15,2005-03-19,2005,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Gandava Town Shrine,Religious,Medium,Closed,Urs Ceremony,Religious,Shiite,25,50,8,100,1,nan
16,2005-04-28,2005,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Baidara village of Matta-District Swat,Parks_Grounds,Low,Open,nan,Civilian,Shiite,0,2,0,0,1,nan
17,2005-05-27,2005,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,Shrine of Bari Imam,Religious,Medium,Closed,"Shia Muslim Annual 
Congregation",Civilian,Shiite_sunni,20,25,82,100,1,1. PIMS 2.Polyclinic 3.CDA Hospital 4.federal govt services 5.rwp generl hosp
18,2005-05-30,2005,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal,Religious,Medium,Closed,evening prayer,Religious,shiite,5,6,19,30,1,1. Patel Hospital 2. JMPC
19,2006-02-09,2006,Holiday,Ashura,Hangu,33.5351,71.0713,KPK,Hangu-Tall road-Ashura Procession,Parks_Grounds,Low,Open,Ashura Day,Religious,Shiite,37,40,90,0,1,Hangu Hospital
20,2006-03-02,2006,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Infront of USA consulate near marriott hotel,Hotel,Medium,Open,Terrorists attacked convoy of david foy-american diplomat.,Foreigner,Christian,4,5,30,54,1,nan
21,2006-04-12,2006,Holiday,Eid Milad un-Nabi,Karachi,24.9918,66.9911,Sindh,Nishter Park,Parks_Grounds,Medium,Open,Eid Miladun Nabi,Religious,Sunni,47,57,0,100,1,1. Liaquat National Hospital 2. Civil Hospital KHI 3. JPMC 4. Abbasi Shaheed Hospital
22,2006-06-02,2006,Working Day,Weekend,Bannu,32.9861,70.6042,KPK,Bakkahel Area of FR Bannu,Mobile,High,Open,Army convoy,Military,Shiite,6,7,7,8,1,1. Combined Military 2. Hospital Peshawar
